#Amusing_Name,type,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type.1,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC
ESO113-G032,Sb,0.029,ESO113-G032,ASASSN14ig,Ia,4581.0,2MASXJ01160496-6137196/ESO113-032/ESOLV1130320/PGC004581/PGC353827,G,1.2364771,-61.8858901,B011411.3-615309,1.2680619,-61.6222255,J011605.0-613720,297.7960806,-55.2594969,235.9900548,-16.2729946,0.0,Sb,,,,,3.1,0.5,1.216,0.031,0.519,0.022,55.56,21.574,0.413,,,14.43,0.2,,,13.18,0.159,10.205,0.359,,,,,,,,,,,,,,,,8818.0,65.0,8818.0,65.0,0.09,0.716,80.39,0.1,1.204,13.558,,,23.432,,,,,8673.0,8697.7,8541.6,8707.6,35.477,0.128,,,35.477,0.128,-21.92,0.238,1,01:16:04,-61:37:15,01:16:05,-61:37:16,P96,01:16:05.02,-61:37:20.01,-0.342600000004722,4.01179999999215
ESO416-G039,S0,0.022589,ESO416-G039,ASASSN14fa,Ia,10872.0,2DFGRSS467Z115/2MASXJ02522234-3149024/2MIG0342/6dFJ0252223-314902/DRCG42-002/ESO416-039/ESOLV4160390/PGC010872,G,2.8380263,-32.0214941,B025016.9-320117,2.8728736,-31.8172747,J025222.3-314902,230.3766812,-63.3530131,268.3940197,-32.9250909,0.0,S0,,,,,-2.2,0.9,0.921,0.044,0.107,0.025,8.19,20.179,0.215,,,14.979,0.236,,,12.79,0.077,10.755,0.061,,,,,,,220.8,16.34,,,,,,,,6695.7,26.9,6695.7,26.9,0.088,0.0,45.67,0.02,0.927,14.791,,,23.325,,,,,6611.3,6606.7,6447.2,6540.9,34.867,0.169,,,34.867,0.169,-20.076,0.29,1,02:52:22,-31:49:02,02:52:23,-31:49:18,P96,02:52:22.34,-31:49:02.19,9.8256000000049,-15.8110800000003
NGC2765,S0,0.012549,NGC2765,ASASSN13dd,Ia/Ia,25646.0,2MASXJ09073666+0323347/CGCG033-061/KIG0303/MCG+01-24-001/NGC2765/NIBLES0799/PGC025646/SDSSJ090736.64+032334.4/SDSSJ090736.64+032334.5/UGC04791/UZC090500+03350,G,9.0833615,3.5951036,B090500.1+033542,9.1268465,3.3929101,J090736.6+032334,226.665176,31.6241876,89.0240662,-52.049846,0.0,S0,B,,,,-1.8,0.9,1.438,0.05,0.469,0.044,105.45,22.252,0.406,14.627,0.131,13.179,0.254,,,11.714,0.112,9.236,0.042,,,,,,,187.73,12.1,,,,,,,,3774.6,1.2,3774.6,1.2,0.139,0.0,90.0,0.83,1.435,12.983,,,24.036,,,,,3577.7,3629.3,3706.9,4086.3,33.662,0.293,,,33.662,0.293,-20.679,0.388,1,09:07:35/09:07:35.13,03:23:34/+03:23:43.0,09:07:37/9:07:34,03:23:39/3:23:32,P96/P97,09:07:36.65,03:23:34.48,5.289000000152555/-39.710999999908836,4.523639999999851/-2.4763599999996444
anon59,,0.032668,SDSSJ102131.91+082419.8,ASASSN14ba,Ia-91T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10:21:32,08:24:20,10:21:32,08:24:19,P96,10:21:32,08:24:19,--,--
PGC170294,Sa,0.023922,PGC170294,ASASSN13an,Ia,170294.0,2MASXJ13453653-0719350/6dFJ1345365-071935/PGC170294/SS2b239.009,G,13.7164063,-7.0762865,B134259.1-070435,13.76015,-7.3263611,J134536.5-071935,325.7076369,53.1330622,127.0758177,10.0517396,0.0,Sa,,,,,1.0,2.0,,,,,55.0,,,,,14.93,0.5,,,,,11.478,0.054,,,,,,,,,,,,,,,,7286.7,14.5,7286.7,14.5,0.169,,,,,14.67,,,,,,,,7154.5,7218.4,7341.6,7577.5,35.143,0.148,,,35.143,0.148,-20.474,0.521,1,13:45:37,-7:19:32,13:45:36,-7:19:32,P96,13:45:36.54,-07:19:034.9,-8.09999999991078,2.8999600000013
CGCG103-030,Sbc,0.022447,CGCG103-030,ASASSN14bf,IIP,49715.0,2MASXJ13581316+1731521/AGC231556/CGCG103-030/MCG+03-36-014/NPM1G+17.0468/PGC049715/SDSSJ135813.12+173151.8/SDSSJ135813.13+173151.8/SDSSJ135813.13+173151.9,G,13.930483,17.7739336,B135549.7+174626,13.9703097,17.5310751,J135813.1+173152,4.487328,71.8475354,102.9860449,19.3598844,0.0,Sbc,,R,,,4.2,2.6,0.786,0.061,0.071,0.031,76.71,21.961,0.254,17.038,0.11,15.971,0.492,,,14.567,0.095,12.4,0.112,,,56.16,3.38,,,,,,,17.096,0.242,,6734.0,5.0,6719.0,4.6,6725.9,5.8,0.128,0.118,32.8,0.02,0.795,15.68,,,23.508,103.68,6.58,17.075,1.394,6707.5,6741.0,6901.2,6974.2,35.016,0.157,,,35.016,0.157,-19.335,0.517,1,13:58:13,17:31:52,13:58:13,17:31:57,P96,13:58:13.11,17:31:51.87,-1.72379999994519,5.12963999999982
PGC053612,E,0.022722,MCG-01-38-015,ASASSN14eu_B,Ia-00cx,53612.0,2MASXJ15003885-0351294/6dFJ1500389-035130/MCG-01-38-015/NPM1G-03.0530/PGC053612/PGC160381,G,14.9672194,-3.6607765,B145802.0-033939,15.0107941,-3.8582018,J150038.9-035130,353.1191449,46.0434449,130.021017,28.8361167,0.0,E,,,,,-4.3,1.8,1.06,0.045,0.12,0.028,154.5,,,,,14.93,0.305,,,,,9.963,0.058,,,,,,,,,,,,,,,,6860.4,38.3,6860.4,38.3,0.666,0.0,57.1,0.03,1.155,14.161,,,24.086,,,,,6807.0,6852.3,6967.1,7061.5,35.029,0.156,,,35.029,0.156,-20.868,0.343,1,15:00:39,-3:51:30,15:00:37,-3:50:49,P96,15:00:38.86,-03:51:29.53,-27.8814000000011,40.5264799999991
Mrk842,S0-a,0.022202,MRK0842,ASASSN14dz,Ia,53895.0,2MASXJ15055484+1244397/ARK470/CGCG076-150/KPG452A/MCG+02-38-039/MRK0842/NPM1G+12.0420/PGC053895/SDSSJ150554.86+124439.1/UZC150336+12560,G,15.0589113,12.9369916,B150332.1+125613,15.0985737,12.7442542,J150554.9+124439,15.0698828,55.4324355,111.6022158,34.5631843,0.0,S0-a,B,,,,-1.3,1.5,0.805,0.061,0.225,0.028,127.62,20.611,0.337,16.666,0.075,15.289,0.309,,,13.878,0.054,11.439,0.045,,,,,,,,,,,,,,,,6641.2,2.6,6641.2,2.6,0.16,0.0,63.05,0.04,0.812,15.03,,,23.01,,,,,6660.5,6686.2,6826.0,6818.2,34.989,0.159,,,34.989,0.159,-19.96,0.347,1,15:05:55,12:44:39,15:05:55,12:44:43,P96,15:05:54.87,12:44:39.32,2.02020000011771,3.68487999999303
PGC055442,E,0.023576,PGC055442,ASASSN13cp,Ia,55442.0,2MASXJ15334894+2108102/ARK477/CGCG136-015/MCG+04-37-003/PGC055442/SDSSJ153348.91+210810.3/SDSSJ153348.91+210810.4/SDSSJ153348.92+210810.3/UZC153142+21190,G,15.5266429,21.30304,B153135.9+211811,15.56359,21.1362113,J153348.9+210810,32.739848,52.6323627,101.9344703,42.1572161,0.0,E,B,R,,,-5.0,2.0,0.86,0.066,0.124,0.027,17.56,22.251,0.647,16.08,0.172,14.758,0.339,,,13.223,0.07,10.756,0.049,,,,,,,,,,,,,,,,7025.7,2.8,7025.7,2.8,0.249,0.0,64.75,0.04,0.895,14.404,,,22.913,,,,,7103.1,7112.1,7252.3,7151.5,35.118,0.15,,,35.118,0.15,-20.714,0.37,1,15:33:49,21:08:10,15:33:49,21:08:20,P96,15:33:48.92,21:08:10.36,1.140000000089,9.63932000000369
CGCG023-005,,0.03334,CGCG023-005,ASASSN14co,Ia,56486.0,2MASXJ15573025+0106432/AGC251367/CGCG023-005/PGC056486/UZC155500+01160,G,15.9160157,1.2551376,B155457.7+011518,15.9584028,1.112,J155730.3+010643,10.7043236,38.4020137,130.4852854,43.8814671,0.0,,,,,,,,0.8,0.063,0.23,0.028,12.5,,,,,15.474,0.41,,,14.11,0.077,12.317,0.084,,,123.87,7.46,,,,,,,16.344,0.242,,9954.0,5.1,9995.0,79.0,9954.2,4.7,0.413,,55.23,0.03,,14.961,,,23.214,150.79,9.17,16.314,1.353,9973.6,9999.2,10102.7,10069.9,35.844,0.107,,,35.844,0.107,-20.883,0.424,1,15:57:30,01:06:43,15:57:30,01:06:34,P96,15:57:30.25,01:06:043.2,-3.75120000014704,-9.20000000000032
PGC057687,S?,0.016151,PGC057687,ASASSN13ch,Ia,57687.0,2MASXJ16163387-0035192/6dFJ1616338-003519/CGCG023-030/NPM1G-00.0507/PGC057687/SDSSJ161633.82-003519.9/SDSSJ161633.83-003519.7/SDSSJ161633.84-003519.9/SHOC532/UZC161400-00290,G,16.2331974,-0.4658903,B161359.5-002757,16.276067,-0.5887151,J161633.8-003519,12.26166,33.5021836,135.3639544,47.6269233,0.0,S?,,,,,10.0,5.0,0.783,0.067,0.448,0.028,172.48,,,16.949,0.011,16.058,0.497,,,15.454,0.114,13.59,0.119,,,,,,,,,,,,,,,,4935.9,1.7,4935.9,1.7,0.525,0.831,90.0,0.83,0.814,14.7,,,22.791,,,,,4966.0,4988.1,5080.3,5023.6,34.335,0.214,,,34.335,0.214,-19.635,0.541,1,16:16:34,-0:35:20,16:16:34,-0:35:27,P96,16:16:33.84,00:35:19.37,2.38199999992048,4246.37436
CGCG051-075,Sbc,0.018,CGCG051-075,ASASSN13cj,Ia,57720.0,2MASSJ16171104+0433146/CGCG051-075/KIG0730/NPM1G+04.0498/PGC057720/SDSSJ161711.04+043314.7,G,16.2450303,4.6761364,B161442.1+044034,16.2864001,4.5540421,J161711.0+043315,17.6690225,36.1042309,128.2159424,49.6763924,0.0,Sbc,,,,,4.4,3.0,0.911,0.183,0.094,0.049,132.81,,,17.277,0.024,15.945,0.454,,,14.428,0.087,13.558,0.082,,,,,,,,,,,,,,,,,,,,0.315,0.157,37.39,0.02,0.937,15.473,,,24.067,,,,,,,,,,,,,,,,,1,16:17:11,04:33:15,16:17:11,04:33:15,P96,16:17:11.04,04:33:14.55,-0.605400000006284,0.448439999997774
UGC11037,Sd,0.010431,UGC11037,ASASSN14at,II,61102.0,2MASXJ17550542+1815267/LGG414:[G93]006/PGC061102/UGC11037,G,17.8815353,18.264485,B175253.5+181552,17.918131,18.2572,J175505.3+181526,43.5942557,20.4001616,104.2233452,75.4512473,1.0,Sd,,,,,8.0,0.5,0.954,0.051,0.53,0.028,52.24,,,,,16.0,0.5,,,,,13.399,0.17,,,73.92,4.74,,,,,,,17.481,0.42,,3127.0,10.3,3127.0,60.0,3127.0,7.2,0.356,0.963,90.0,0.83,0.966,14.673,,,23.441,73.92,,16.655,1.982,3311.6,3285.5,3356.8,3047.2,33.438,0.323,,,33.438,0.323,-18.765,0.595,1,17:55:05,18:15:26,17:55:05,18:15:27,P96,17:55:05.27,18:15:25.92,-4.07399999974132,1.07999999999748
ESO075-G049,Sc,0.037519,ESO075-G049,ASASSN14db,Ia,67875.0,2MASXJ22020178-7002298/6dFJ2202018-700230/ESO075-049/ESOLV0750490/IRAS21578-7017/PGC067875,G,21.9653831,-70.2827749,B215755.4-701658,22.0338347,-70.0416111,J220201.8-700230,320.6095213,-40.7758063,220.8532987,-1.6824871,0.0,Sc,,,,,4.6,2.2,0.815,0.048,0.111,0.028,,20.682,0.351,,,15.08,0.2,,,13.46,0.077,11.779,0.092,,,,,,,,,,,,,13.745,,,11248.8,45.0,11248.8,45.0,0.13,0.187,40.29,0.02,0.823,14.701,,,22.687,,,,,11102.3,11138.0,11008.6,11170.9,36.038,0.099,,,36.038,0.099,-21.337,0.223,1,22:02:02,-70:02:29,22:02:02,-70:02:28,P96,22:02:001.8,-70:02:029.8,2.92619999997896,1.79996000000529
PGC128348,Sc,0.014827,PGC128348,ASASSN14jg,Ia,128348.0,2MASXJ23331223-6034201/6dFJ2333122-603420/PGC128348/PGC195767,G,23.5066181,-60.8486463,B233023.8-605055,23.5533945,-60.5722626,J233312.2-603420,319.1889949,-54.0171699,233.9342502,-4.0450317,0.0,Sc,,,,,5.0,3.0,0.984,0.046,0.091,0.03,15.93,,,,,15.12,0.5,,,13.26,0.077,12.146,0.184,,,,,,,,,,,,,,,,4445.9,33.5,4445.9,33.5,0.065,0.157,36.72,0.02,0.986,14.873,,,23.603,,,,,4335.5,4355.2,4202.9,4304.9,33.931,0.259,,,33.931,0.259,-19.058,0.563,1,23:33:12,-60:34:20,23:33:14,-60:34:12,P96,23:33:12.22,-60:34:20.15,26.6970000001265,8.14536000000601
ASASSN-14az,,,,ASASSN-14az,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23:44:48.0,-02:07:03.17,P103,,,--,--
2MASXJ07001137-6602251,,,,AT2019ahk,TDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,07:00:11.546,-66:02:24.14,P103,,,--,--
2MIG_1546,E-S0,0.01486,NGC3546,SN2017cze,Ia,33846.0,2MASXJ11094676-1322500/2MIG1546/6dFJ1109468-132250/MCG-02-29-007/NGC3546/NPM1G-13.0315/PGC033846,G,11.121256,-13.1091714,B110716.5-130633,11.1629917,-13.3805972,J110946.8-132250,268.3943762,42.5720082,123.3825778,-28.5375858,0.0,E-S0,,,,,-2.5,1.3,1.281,0.067,0.329,0.042,101.33,20.488,0.251,,,14.46,0.253,,,11.69,0.081,9.722,0.054,,,,,,,230.86,12.0,0.306,0.008,,,,,,4449.4,20.6,4449.4,20.6,0.23,0.0,90.0,0.83,1.296,14.164,,,24.561,,,,,4203.1,4283.2,4378.8,4817.1,34.013,0.248,,,34.013,0.248,-19.85,0.354,1,11:09:46.80,-13:22:50.50,11:09:46.81,-13:22:50.6,arx,11:09:46.77,-13:22:50.15,0.598200000024463,-0.450080000002373
ARP256,,0.027299,ARP256,SN2010hp,II,3166363.0,8ZW018/ARP256/VV352,M2,0.2715516,-10.6464136,B001617.6-103847,0.314,-10.3688,J001850.4-102208,96.7672659,-71.5650384,283.9636058,5.7461651,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,,,,,,,,,,,,,,,,,,,,,,,,1,00:18:50.69,-10:22:28.88,00:18:50.01,-10:21:40.6,arx,00:18:050.4,-10:22:07.68,-5.84999999999916,27.0800000000015
3C029,E,0.045031,UGC00595,SN2007nq/SN2010jo,Ia/Ia,3444.0,2MASXJ00573491-0123278/3C029/4C-01.05/CGCG384-048/DRCG03-026/GIN015/MCG+00-03-041/MRC0055-016/NFPJ005734.9-012327/PGC003444/PKS0055-016/UGC00595/UZC005506-01380,G,0.9170961,-1.6628076,B005501.5-013946,0.9596866,-1.3927504,J005734.9-012334,126.4642939,-64.2223673,295.2830198,-0.9941701,0.0,E,,,,C,-4.4,1.2,0.944,0.06,0.031,0.025,,22.788,0.389,,,14.378,1.111,,,12.684,0.076,11.151,0.487,,,,,32.0,14.0,235.81,11.21,,,,,,,,13499.4,15.1,13499.4,15.1,0.153,0.0,28.26,0.02,0.965,14.022,,,22.969,,,,,13633.6,13571.9,13429.9,13171.8,36.478,0.081,,,36.478,0.081,-22.457,1.114,1,00:57:35.03,-01:23:27.22,00:57:33.60/00:57:35.61,-01:23:19.5/-01:23:33.3,arx,00:57:34.87,-01:23:033.9,-19.07640000000299/11.073599999993888,14.401440000000054/0.6014399999999753
